ticker,ref,wide_range,run_days_breakout
SPCE,19.06,348.03,236.92
TSLA,314.54,424.76,-36.68
ACAD,-58.62,64.18,67.20
COIN,-23.23,2.71,N/A
FGEN,-48.95,99.29,0.05
JD,61.64,11.49,-67.32
BABA,9.70,59.81,4.53
TCS,335.69,177.83,150.35
SBER,66.13,38.00,-8.88
AFLT,-9.24,88.21,21.53
MSFT,35.21,20.90,17.08
NFLX,14.38,1.42,-121.73
GAZP,29.74,9.05,14.33
GOOG,70.97,75.55,51.83
FB,49.70,2.98,-53.55
ORCL,50.21,22.38,2.93
HYDR,31.25,3.12,-18.75
NXPI,66.23,3.71,-30.16
XLNX,43.96,63.56,-0.65
NEE,31.12,14.92,7.62
AMD,41.41,35.95,-24.26
DELL,69.34,65.79,48.50
HHR,146.02,26.02,47.54
KO,19.70,18.86,-30.52
TDOC,-12.29,115.37,9.94
PLZL,26.43,36.26,-0.18
IRAO,6.01,10.78,-7.88
AGRO,47.37,38.83,16.59
OZON,57.25,67.18,-19.60
PFE,3.88,17.11,-0.89
ACH,201.57,270.28,65.35
ENPH,108.03,113.40,19.86
EDIT,24.35,233.65,26.25
GMKN,28.76,54.29,6.88
BIDU,92.47,252.35,163.53
BIIB,-16.46,15.29,-90.15
NVDA,83.69,65.84,15.97
ATRA,32.59,194.63,15.32
SPOT,-0.66,29.36,-37.67
RDY,37.74,53.33,44.89
TTM,251.97,136.41,178.12
MOMO,-35.27,19.32,-18.92
CNC,4.31,2.40,-75.19
TXN,63.47,33.73,-38.51
ADI,45.07,15.48,-39.57
POLY,13.86,67.17,28.16
IBN,99.76,133.53,82.40
SCCO,127.02,113.49,83.82
FCX,389.87,257.02,200.89
